ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
CRPL_FSS_RLN_0003,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Open shape,Class 2,Etruria
CRPL_FSS_RLN_0004,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Open shape,Class 2,Etruria
CRPL_FSS_RLN_0005,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Open shape,Class 2,Etruria
CRPL_FSS_RLN_0006,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Open shape,Class 1,Etruria
CRPL_FSS_RLN_0007,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Open shape,Class 2,Etruria
CRPL_FSS_RLN_0008,Capriola del Fosso di Arlena,Funerary,OP,Grave good,100,Closed shape,Class 3,Etruria
CRQ_PTRS_0001,Cerqua Petrosa,Settlement,EIA1,,91,Open shape,Class 2,Etruria
CRSTLLT_LAMN_0001,Crostoletto di Lamone,Funerary,FBA,Urn,354,Closed shape,Class 3,Etruria
CRSTLLT_LAMN_0002,Crostoletto di Lamone,Funerary,FBA,Cover,354,Open shape,Class 2,Etruria
CRSTLLT_LAMN_0003,Crostoletto di Lamone,Funerary,FBA,Cover,354,Open shape,Class 1,Etruria
CRSTLLT_LAMN_0004,Crostoletto di Lamone,Funerary,FBA,Urn,354,Closed shape,Class 3,Etruria
CRSTLLT_LAMN_0005,Crostoletto di Lamone,Funerary,FBA,Cover,354,Open shape,Class 2,Etruria
CRVTR_FND_RSS_0001,Cerveteri - Fondo Rossi,Funerary,FBA,Urn,370,Closed shape,Class 3,Etruria
CRVTR_FND_RSS_0002,Cerveteri - Fondo Rossi,Funerary,FBA,Cover,370,Open shape,Class 1,Etruria
CSL_DL_FSS_0001,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0002,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0003,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0004,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0005,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 3,Etruria
CSL_DL_FSS_0006,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0007,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 1,Etruria
CSL_DL_FSS_0008,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0009,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0010,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0011,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0012,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0013,Casal Del Fosso,Funerary,OP,Grave good,186,Closed shape,Class 2,Etruria
CSL_DL_FSS_0014,Casal Del Fosso,Funerary,OP,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0015,Casal Del Fosso,Funerary,FBA,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0016,Casal Del Fosso,Funerary,FBA,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0017,Casal Del Fosso,Funerary,FBA,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0018,Casal Del Fosso,Funerary,FBA,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0019,Casal Del Fosso,Funerary,FBA,Grave good,186,Closed shape,Class 4,Etruria
CSL_DL_FSS_0020,Casal Del Fosso,Funerary,FBA,Grave good,186,Closed shape,Class 3,Etruria
CSL_DL_FSS_0021,Casal Del Fosso,Funerary,EIA2,Grave good,186,Open shape,Class 1,Etruria
CSL_DL_FSS_0022,Casal Del Fosso,Funerary,EIA2,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0023,Casal Del Fosso,Funerary,EIA2,Grave good,186,Open shape,Class 1,Etruria
CSL_DL_FSS_0024,Casal Del Fosso,Funerary,EIA2,Grave good,186,Open shape,Class 2,Etruria
CSL_DL_FSS_0025,Casal Del Fosso,Funerary,EIA2,Grave good,186,Closed shape,Class 3,Etruria
CSL_DL_FSS_0026,Casal Del Fosso,Funerary,EIA2,Grave good,186,Open shape,Class 2,Etruria
CST_D_DCM_0001,Castel di Decima - Necropoli,Funerary,EIA1,Grave good,169,Closed shape,Class 4,Latium
